"","condition","item","sentence","reading_time","subject","ambiguity_G","ambiguity"
"249","exp4","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",3945,2,"Unambiguous",-1
"255","exp2","8","After the lady woke up%2C her husband at home drank some coffee.",4266,2,"Unambiguous",-1
"261","exp2","4","After the parents hugged%2C their child in the park sat on the bench.",2405,2,"Unambiguous",-1
"267","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",5806,2,"Unambiguous",-1
"273","exp1","7","After the lady dressed the boy in the house watched the television.",1930,2,"Ambiguous",1
"279","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",3625,2,"Unambiguous",-1
"285","exp1","3","After the bear scratched the lion in the forest climbed the tree.",11828,2,"Ambiguous",1
"291","exp4","2","After the woman dressed%2C the boy at home read a book.",1971,2,"Unambiguous",-1
"297","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",7858,2,"Ambiguous",1
"303","exp3","9","After the parents kissed their son in the dining room ate some bread.",2973,2,"Ambiguous",1
"309","exp3","5","After the parents kissed the child in the kitchen ate some chocolate.",5149,2,"Ambiguous",1
"372","exp1","6","After the mouse scratched the man with the dark hair drank some water.",3199,3,"Ambiguous",1
"378","exp2","3","After the bear scratched%2C the lion in the forest climbed the tree.",5419,3,"Unambiguous",-1
"384","exp4","9","After the parents kissed%2C their son in the dining room ate some bread.",4878,3,"Unambiguous",-1
"390","exp3","16","After the old lady dressed the boy in the bedroom looked at the clock.",4288,3,"Ambiguous",1
"396","exp2","7","After the lady dressed%2C the boy in the house watched the television.",4382,3,"Unambiguous",-1
"402","exp3","4","After the parents hugged their child in the park sat on the bench.",7110,3,"Ambiguous",1
"408","exp2","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",5692,3,"Unambiguous",-1
"414","exp3","8","After the lady woke up her husband at home drank some coffee.",6834,3,"Ambiguous",1
"420","exp4","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",4530,3,"Unambiguous",-1
"426","exp1","2","After the woman dressed the boy at home read a book.",3604,3,"Ambiguous",1
"432","exp4","1","After the lady woke up%2C the boy in the room ate a sandwich.",8002,3,"Unambiguous",-1
"438","exp1","14","After the lady woke up her friend in the flat drank a cup of tea.",5008,3,"Ambiguous",1
"444","exp3","12","After the lady dressed the child in the bedroom looked at the clock.",5104,3,"Ambiguous",1
"450","exp4","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",4130,3,"Unambiguous",-1
"456","exp1","10","After the brothers hugged their mother in the kitchen ate some cookies.",4233,3,"Ambiguous",1
"462","exp2","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",9019,3,"Unambiguous",-1
"529","exp2","2","After the woman dressed%2C the boy at home read a book.",4448,4,"Unambiguous",-1
"535","exp1","9","After the parents kissed their son in the dining room ate some bread.",7396,4,"Ambiguous",1
"541","exp2","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",5451,4,"Unambiguous",-1
"547","exp1","5","After the parents kissed the child in the kitchen ate some chocolate.",5232,4,"Ambiguous",1
"553","exp3","3","After the bear scratched the lion in the forest climbed the tree.",5565,4,"Ambiguous",1
"559","exp4","8","After the lady woke up%2C her husband at home drank some coffee.",5059,4,"Unambiguous",-1
"565","exp3","7","After the lady dressed the boy in the house watched the television.",4399,4,"Ambiguous",1
"571","exp1","1","After the lady woke up the boy in the room ate a sandwich.",4122,4,"Ambiguous",1
"577","exp2","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",5396,4,"Unambiguous",-1
"583","exp2","6","After the mouse scratched%2C the man with the dark hair drank some water.",5993,4,"Unambiguous",-1
"589","exp4","12","After the lady dressed%2C the child in the bedroom looked at the clock.",5682,4,"Unambiguous",-1
"595","exp3","11","After the nurse woke up the patient in the hospital knocked on the door.",3861,4,"Ambiguous",1
"601","exp1","13","After the girls hugged their father in the kitchen drank some lemonade.",5125,4,"Ambiguous",1
"607","exp3","15","After the parents kissed their child in the bedroom ate some biscuits.",4785,4,"Ambiguous",1
"613","exp4","4","After the parents hugged%2C their child in the park sat on the bench.",5241,4,"Unambiguous",-1
"619","exp4","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",4704,4,"Unambiguous",-1
"682","exp3","14","After the lady woke up her friend in the flat drank a cup of tea.",6618,5,"Ambiguous",1
"688","exp3","6","After the mouse scratched the man with the dark hair drank some water.",8519,5,"Ambiguous",1
"694","exp4","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",4176,5,"Unambiguous",-1
"700","exp3","2","After the woman dressed the boy at home read a book.",7471,5,"Ambiguous",1
"706","exp4","3","After the bear scratched%2C the lion in the forest climbed the tree.",5843,5,"Unambiguous",-1
"712","exp2","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",3891,5,"Unambiguous",-1
"718","exp3","10","After the brothers hugged their mother in the kitchen ate some cookies.",9279,5,"Ambiguous",1
"724","exp2","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",3476,5,"Unambiguous",-1
"730","exp2","9","After the parents kissed%2C their son in the dining room ate some bread.",3954,5,"Unambiguous",-1
"736","exp2","1","After the lady woke up%2C the boy in the room ate a sandwich.",3354,5,"Unambiguous",-1
"742","exp1","4","After the parents hugged their child in the park sat on the bench.",5509,5,"Ambiguous",1
"748","exp1","16","After the old lady dressed the boy in the bedroom looked at the clock.",9747,5,"Ambiguous",1
"754","exp1","12","After the lady dressed the child in the bedroom looked at the clock.",4168,5,"Ambiguous",1
"760","exp1","8","After the lady woke up her husband at home drank some coffee.",5603,5,"Ambiguous",1
"766","exp4","7","After the lady dressed%2C the boy in the house watched the television.",3218,5,"Unambiguous",-1
"772","exp4","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",17690,5,"Unambiguous",-1
"837","exp2","4","After the parents hugged%2C their child in the park sat on the bench.",4175,6,"Unambiguous",-1
"843","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",5252,6,"Ambiguous",1
"849","exp4","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",11880,6,"Unambiguous",-1
"855","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",5636,6,"Unambiguous",-1
"861","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",5800,6,"Ambiguous",1
"867","exp4","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",3229,6,"Unambiguous",-1
"873","exp1","3","After the bear scratched the lion in the forest climbed the tree.",3951,6,"Ambiguous",1
"879","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",5100,6,"Unambiguous",-1
"885","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",6698,6,"Unambiguous",-1
"891","exp3","13","After the girls hugged their father in the kitchen drank some lemonade.",6872,6,"Ambiguous",1
"897","exp4","2","After the woman dressed%2C the boy at home read a book.",5196,6,"Unambiguous",-1
"903","exp3","9","After the parents kissed their son in the dining room ate some bread.",3133,6,"Ambiguous",1
"909","exp3","5","After the parents kissed the child in the kitchen ate some chocolate.",9525,6,"Ambiguous",1
"915","exp1","7","After the lady dressed the boy in the house watched the television.",4958,6,"Ambiguous",1
"921","exp3","1","After the lady woke up the boy in the room ate a sandwich.",5391,6,"Ambiguous",1
"927","exp2","8","After the lady woke up%2C her husband at home drank some coffee.",4884,6,"Unambiguous",-1
"994","exp4","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",1239,7,"Unambiguous",-1
"1000","exp3","8","After the lady woke up her husband at home drank some coffee.",1570,7,"Ambiguous",1
"1006","exp3","16","After the old lady dressed the boy in the bedroom looked at the clock.",1743,7,"Ambiguous",1
"1012","exp3","12","After the lady dressed the child in the bedroom looked at the clock.",1660,7,"Ambiguous",1
"1018","exp1","6","After the mouse scratched the man with the dark hair drank some water.",2214,7,"Ambiguous",1
"1024","exp1","2","After the woman dressed the boy at home read a book.",1724,7,"Ambiguous",1
"1030","exp2","7","After the lady dressed%2C the boy in the house watched the television.",1590,7,"Unambiguous",-1
"1036","exp4","1","After the lady woke up%2C the boy in the room ate a sandwich.",1333,7,"Unambiguous",-1
"1042","exp2","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",1082,7,"Unambiguous",-1
"1048","exp1","14","After the lady woke up her friend in the flat drank a cup of tea.",1096,7,"Ambiguous",1
"1054","exp1","10","After the brothers hugged their mother in the kitchen ate some cookies.",1012,7,"Ambiguous",1
"1060","exp2","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",1627,7,"Unambiguous",-1
"1066","exp4","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",1326,7,"Unambiguous",-1
"1072","exp3","4","After the parents hugged their child in the park sat on the bench.",2663,7,"Ambiguous",1
"1078","exp2","3","After the bear scratched%2C the lion in the forest climbed the tree.",1313,7,"Unambiguous",-1
"1084","exp4","9","After the parents kissed%2C their son in the dining room ate some bread.",1142,7,"Unambiguous",-1
"1149","exp3","3","After the bear scratched the lion in the forest climbed the tree.",3620,8,"Ambiguous",1
"1155","exp4","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",9639,8,"Unambiguous",-1
"1161","exp3","15","After the parents kissed their child in the bedroom ate some biscuits.",5784,8,"Ambiguous",1
"1167","exp4","8","After the lady woke up%2C her husband at home drank some coffee.",4990,8,"Unambiguous",-1
"1173","exp4","12","After the lady dressed%2C the child in the bedroom looked at the clock.",3478,8,"Unambiguous",-1
"1179","exp3","7","After the lady dressed the boy in the house watched the television.",4993,8,"Ambiguous",1
"1185","exp1","5","After the parents kissed the child in the kitchen ate some chocolate.",4320,8,"Ambiguous",1
"1191","exp1","9","After the parents kissed their son in the dining room ate some bread.",4356,8,"Ambiguous",1
"1197","exp2","2","After the woman dressed%2C the boy at home read a book.",9928,8,"Unambiguous",-1
"1203","exp1","13","After the girls hugged their father in the kitchen drank some lemonade.",4401,8,"Ambiguous",1
"1209","exp2","6","After the mouse scratched%2C the man with the dark hair drank some water.",5610,8,"Unambiguous",-1
"1215","exp2","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",4032,8,"Unambiguous",-1
"1221","exp2","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",5644,8,"Unambiguous",-1
"1227","exp3","11","After the nurse woke up the patient in the hospital knocked on the door.",3224,8,"Ambiguous",1
"1233","exp1","1","After the lady woke up the boy in the room ate a sandwich.",2745,8,"Ambiguous",1
"1239","exp4","4","After the parents hugged%2C their child in the park sat on the bench.",2826,8,"Unambiguous",-1
"1304","exp1","4","After the parents hugged their child in the park sat on the bench.",11371,9,"Ambiguous",1
"1310","exp2","1","After the lady woke up%2C the boy in the room ate a sandwich.",4805,9,"Unambiguous",-1
"1316","exp4","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",4092,9,"Unambiguous",-1
"1322","exp2","9","After the parents kissed%2C their son in the dining room ate some bread.",4736,9,"Unambiguous",-1
"1328","exp4","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",3513,9,"Unambiguous",-1
"1334","exp1","16","After the old lady dressed the boy in the bedroom looked at the clock.",6587,9,"Ambiguous",1
"1340","exp3","2","After the woman dressed the boy at home read a book.",4370,9,"Ambiguous",1
"1346","exp3","6","After the mouse scratched the man with the dark hair drank some water.",13966,9,"Ambiguous",1
"1352","exp4","7","After the lady dressed%2C the boy in the house watched the television.",11584,9,"Unambiguous",-1
"1358","exp1","12","After the lady dressed the child in the bedroom looked at the clock.",14245,9,"Ambiguous",1
"1364","exp2","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",3945,9,"Unambiguous",-1
"1370","exp3","10","After the brothers hugged their mother in the kitchen ate some cookies.",4811,9,"Ambiguous",1
"1376","exp1","8","After the lady woke up her husband at home drank some coffee.",5941,9,"Ambiguous",1
"1382","exp4","3","After the bear scratched%2C the lion in the forest climbed the tree.",11052,9,"Unambiguous",-1
"1388","exp2","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",6143,9,"Unambiguous",-1
"1394","exp3","14","After the lady woke up her friend in the flat drank a cup of tea.",7811,9,"Ambiguous",1
"1459","exp3","1","After the lady woke up the boy in the room ate a sandwich.",28810,10,"Ambiguous",1
"1465","exp3","5","After the parents kissed the child in the kitchen ate some chocolate.",37443,10,"Ambiguous",1
"1471","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",13204,10,"Ambiguous",1
"1477","exp3","13","After the girls hugged their father in the kitchen drank some lemonade.",16334,10,"Ambiguous",1
"1483","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",8385,10,"Unambiguous",-1
"1489","exp2","4","After the parents hugged%2C their child in the park sat on the bench.",14142,10,"Unambiguous",-1
"1495","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",11806,10,"Unambiguous",-1
"1501","exp4","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",10685,10,"Unambiguous",-1
"1507","exp4","2","After the woman dressed%2C the boy at home read a book.",8742,10,"Unambiguous",-1
"1513","exp3","9","After the parents kissed their son in the dining room ate some bread.",8094,10,"Ambiguous",1
"1519","exp1","3","After the bear scratched the lion in the forest climbed the tree.",10169,10,"Ambiguous",1
"1525","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",4659,10,"Ambiguous",1
"1531","exp2","8","After the lady woke up%2C her husband at home drank some coffee.",23123,10,"Unambiguous",-1
"1537","exp1","7","After the lady dressed the boy in the house watched the television.",58019,10,"Ambiguous",1
"1543","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",50810,10,"Unambiguous",-1
"1549","exp4","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",5895,10,"Unambiguous",-1
"1614","exp1","10","After the brothers hugged their mother in the kitchen ate some cookies.",5090,11,"Ambiguous",1
"1620","exp4","9","After the parents kissed%2C their son in the dining room ate some bread.",3689,11,"Unambiguous",-1
"1626","exp1","2","After the woman dressed the boy at home read a book.",4221,11,"Ambiguous",1
"1632","exp2","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",1858,11,"Unambiguous",-1
"1638","exp4","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",1783,11,"Unambiguous",-1
"1644","exp3","8","After the lady woke up her husband at home drank some coffee.",5864,11,"Ambiguous",1
"1650","exp3","16","After the old lady dressed the boy in the bedroom looked at the clock.",3417,11,"Ambiguous",1
"1656","exp2","7","After the lady dressed%2C the boy in the house watched the television.",4472,11,"Unambiguous",-1
"1662","exp4","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",2588,11,"Unambiguous",-1
"1668","exp1","6","After the mouse scratched the man with the dark hair drank some water.",4327,11,"Ambiguous",1
"1674","exp2","3","After the bear scratched%2C the lion in the forest climbed the tree.",3263,11,"Unambiguous",-1
"1680","exp4","1","After the lady woke up%2C the boy in the room ate a sandwich.",2544,11,"Unambiguous",-1
"1686","exp3","12","After the lady dressed the child in the bedroom looked at the clock.",2998,11,"Ambiguous",1
"1692","exp2","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",3132,11,"Unambiguous",-1
"1698","exp3","4","After the parents hugged their child in the park sat on the bench.",6228,11,"Ambiguous",1
"1704","exp1","14","After the lady woke up her friend in the flat drank a cup of tea.",6217,11,"Ambiguous",1
"1769","exp4","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",4389,12,"Unambiguous",-1
"1775","exp1","13","After the girls hugged their father in the kitchen drank some lemonade.",5648,12,"Ambiguous",1
"1781","exp2","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",5036,12,"Unambiguous",-1
"1787","exp3","11","After the nurse woke up the patient in the hospital knocked on the door.",4283,12,"Ambiguous",1
"1793","exp1","5","After the parents kissed the child in the kitchen ate some chocolate.",3196,12,"Ambiguous",1
"1799","exp3","3","After the bear scratched the lion in the forest climbed the tree.",5415,12,"Ambiguous",1
"1805","exp2","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",5231,12,"Unambiguous",-1
"1811","exp2","6","After the mouse scratched%2C the man with the dark hair drank some water.",7933,12,"Unambiguous",-1
"1817","exp3","15","After the parents kissed their child in the bedroom ate some biscuits.",2821,12,"Ambiguous",1
"1823","exp3","7","After the lady dressed the boy in the house watched the television.",3769,12,"Ambiguous",1
"1829","exp4","8","After the lady woke up%2C her husband at home drank some coffee.",6638,12,"Unambiguous",-1
"1835","exp1","1","After the lady woke up the boy in the room ate a sandwich.",4373,12,"Ambiguous",1
"1841","exp4","4","After the parents hugged%2C their child in the park sat on the bench.",7735,12,"Unambiguous",-1
"1847","exp4","12","After the lady dressed%2C the child in the bedroom looked at the clock.",4328,12,"Unambiguous",-1
"1853","exp1","9","After the parents kissed their son in the dining room ate some bread.",7533,12,"Ambiguous",1
"1859","exp2","2","After the woman dressed%2C the boy at home read a book.",3764,12,"Unambiguous",-1
"1924","exp2","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",8972,13,"Unambiguous",-1
"1930","exp3","2","After the woman dressed the boy at home read a book.",7079,13,"Ambiguous",1
"1936","exp1","12","After the lady dressed the child in the bedroom looked at the clock.",7934,13,"Ambiguous",1
"1942","exp1","16","After the old lady dressed the boy in the bedroom looked at the clock.",9951,13,"Ambiguous",1
"1948","exp4","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",4230,13,"Unambiguous",-1
"1954","exp2","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",6660,13,"Unambiguous",-1
"1960","exp2","9","After the parents kissed%2C their son in the dining room ate some bread.",4117,13,"Unambiguous",-1
"1966","exp2","1","After the lady woke up%2C the boy in the room ate a sandwich.",4926,13,"Unambiguous",-1
"1972","exp1","8","After the lady woke up her husband at home drank some coffee.",4372,13,"Ambiguous",1
"1978","exp3","6","After the mouse scratched the man with the dark hair drank some water.",12847,13,"Ambiguous",1
"1984","exp4","3","After the bear scratched%2C the lion in the forest climbed the tree.",9558,13,"Unambiguous",-1
"1990","exp4","7","After the lady dressed%2C the boy in the house watched the television.",6847,13,"Unambiguous",-1
"1996","exp3","14","After the lady woke up her friend in the flat drank a cup of tea.",7322,13,"Ambiguous",1
"2002","exp4","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",4804,13,"Unambiguous",-1
"2008","exp3","10","After the brothers hugged their mother in the kitchen ate some cookies.",6537,13,"Ambiguous",1
"2014","exp1","4","After the parents hugged their child in the park sat on the bench.",5557,13,"Ambiguous",1
"2079","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",6089,14,"Unambiguous",-1
"2085","exp4","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",4969,14,"Unambiguous",-1
"2091","exp2","8","After the lady woke up%2C her husband at home drank some coffee.",6559,14,"Unambiguous",-1
"2097","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",6388,14,"Ambiguous",1
"2103","exp2","4","After the parents hugged%2C their child in the park sat on the bench.",5146,14,"Unambiguous",-1
"2109","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",4617,14,"Unambiguous",-1
"2115","exp3","5","After the parents kissed the child in the kitchen ate some chocolate.",4049,14,"Ambiguous",1
"2121","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",7265,14,"Unambiguous",-1
"2127","exp3","9","After the parents kissed their son in the dining room ate some bread.",4237,14,"Ambiguous",1
"2133","exp3","13","After the girls hugged their father in the kitchen drank some lemonade.",4865,14,"Ambiguous",1
"2139","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",4986,14,"Ambiguous",1
"2145","exp3","1","After the lady woke up the boy in the room ate a sandwich.",3551,14,"Ambiguous",1
"2151","exp1","3","After the bear scratched the lion in the forest climbed the tree.",3344,14,"Ambiguous",1
"2157","exp1","7","After the lady dressed the boy in the house watched the television.",5409,14,"Ambiguous",1
"2163","exp4","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",9170,14,"Unambiguous",-1
"2169","exp4","2","After the woman dressed%2C the boy at home read a book.",4882,14,"Unambiguous",-1
"2232","exp2","7","After the lady dressed%2C the boy in the house watched the television.",2549,15,"Unambiguous",-1
"2238","exp4","1","After the lady woke up%2C the boy in the room ate a sandwich.",2168,15,"Unambiguous",-1
"2244","exp1","6","After the mouse scratched the man with the dark hair drank some water.",1627,15,"Ambiguous",1
"2250","exp1","2","After the woman dressed the boy at home read a book.",2492,15,"Ambiguous",1
"2256","exp4","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",2722,15,"Unambiguous",-1
"2262","exp2","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",2114,15,"Unambiguous",-1
"2268","exp2","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",1177,15,"Unambiguous",-1
"2274","exp3","16","After the old lady dressed the boy in the bedroom looked at the clock.",1962,15,"Ambiguous",1
"2280","exp3","12","After the lady dressed the child in the bedroom looked at the clock.",2489,15,"Ambiguous",1
"2286","exp4","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",2062,15,"Unambiguous",-1
"2292","exp3","4","After the parents hugged their child in the park sat on the bench.",1908,15,"Ambiguous",1
"2298","exp1","14","After the lady woke up her friend in the flat drank a cup of tea.",822,15,"Ambiguous",1
"2304","exp4","9","After the parents kissed%2C their son in the dining room ate some bread.",1426,15,"Unambiguous",-1
"2310","exp3","8","After the lady woke up her husband at home drank some coffee.",1106,15,"Ambiguous",1
"2316","exp1","10","After the brothers hugged their mother in the kitchen ate some cookies.",2384,15,"Ambiguous",1
"2322","exp2","3","After the bear scratched%2C the lion in the forest climbed the tree.",2868,15,"Unambiguous",-1
"2387","exp2","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",8298,16,"Unambiguous",-1
"2393","exp4","12","After the lady dressed%2C the child in the bedroom looked at the clock.",6013,16,"Unambiguous",-1
"2399","exp3","3","After the bear scratched the lion in the forest climbed the tree.",5935,16,"Ambiguous",1
"2405","exp4","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",6273,16,"Unambiguous",-1
"2411","exp2","2","After the woman dressed%2C the boy at home read a book.",4964,16,"Unambiguous",-1
"2417","exp1","5","After the parents kissed the child in the kitchen ate some chocolate.",17621,16,"Ambiguous",1
"2423","exp3","7","After the lady dressed the boy in the house watched the television.",12667,16,"Ambiguous",1
"2429","exp3","11","After the nurse woke up the patient in the hospital knocked on the door.",6169,16,"Ambiguous",1
"2435","exp3","15","After the parents kissed their child in the bedroom ate some biscuits.",5781,16,"Ambiguous",1
"2441","exp2","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",14260,16,"Unambiguous",-1
"2447","exp4","8","After the lady woke up%2C her husband at home drank some coffee.",15901,16,"Unambiguous",-1
"2453","exp1","9","After the parents kissed their son in the dining room ate some bread.",8727,16,"Ambiguous",1
"2459","exp2","6","After the mouse scratched%2C the man with the dark hair drank some water.",7273,16,"Unambiguous",-1
"2465","exp4","4","After the parents hugged%2C their child in the park sat on the bench.",8133,16,"Unambiguous",-1
"2471","exp1","1","After the lady woke up the boy in the room ate a sandwich.",7606,16,"Ambiguous",1
"2477","exp1","13","After the girls hugged their father in the kitchen drank some lemonade.",8314,16,"Ambiguous",1
"2542","exp1","16","After the old lady dressed the boy in the bedroom looked at the clock.",7500,17,"Ambiguous",1
"2548","exp2","1","After the lady woke up%2C the boy in the room ate a sandwich.",4522,17,"Unambiguous",-1
"2554","exp1","12","After the lady dressed the child in the bedroom looked at the clock.",9649,17,"Ambiguous",1
"2560","exp1","8","After the lady woke up her husband at home drank some coffee.",7932,17,"Ambiguous",1
"2566","exp4","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",8401,17,"Unambiguous",-1
"2572","exp1","4","After the parents hugged their child in the park sat on the bench.",7414,17,"Ambiguous",1
"2578","exp3","6","After the mouse scratched the man with the dark hair drank some water.",17406,17,"Ambiguous",1
"2584","exp4","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",4521,17,"Unambiguous",-1
"2590","exp2","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",7752,17,"Unambiguous",-1
"2596","exp3","14","After the lady woke up her friend in the flat drank a cup of tea.",9003,17,"Ambiguous",1
"2602","exp4","7","After the lady dressed%2C the boy in the house watched the television.",3557,17,"Unambiguous",-1
"2608","exp3","2","After the woman dressed the boy at home read a book.",9201,17,"Ambiguous",1
"2614","exp3","10","After the brothers hugged their mother in the kitchen ate some cookies.",31988,17,"Ambiguous",1
"2620","exp2","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",19261,17,"Unambiguous",-1
"2626","exp2","9","After the parents kissed%2C their son in the dining room ate some bread.",4325,17,"Unambiguous",-1
"2632","exp4","3","After the bear scratched%2C the lion in the forest climbed the tree.",4262,17,"Unambiguous",-1
"2699","exp4","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",5845,18,"Unambiguous",-1
"2705","exp1","15","After the parents kissed their child in the bedroom ate some biscuits.",5159,18,"Ambiguous",1
"2711","exp2","16","After the old lady dressed%2C the boy in the bedroom looked at the clock.",6946,18,"Unambiguous",-1
"2717","exp3","1","After the lady woke up the boy in the room ate a sandwich.",3435,18,"Ambiguous",1
"2723","exp4","6","After the mouse scratched%2C the man with the dark hair drank some water.",6179,18,"Unambiguous",-1
"2729","exp3","9","After the parents kissed their son in the dining room ate some bread.",4078,18,"Ambiguous",1
"2735","exp4","14","After the lady woke up%2C her friend in the flat drank a cup of tea.",8419,18,"Unambiguous",-1
"2741","exp4","2","After the woman dressed%2C the boy at home read a book.",4563,18,"Unambiguous",-1
"2747","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",3771,18,"Ambiguous",1
"2753","exp1","7","After the lady dressed the boy in the house watched the television.",3041,18,"Ambiguous",1
"2759","exp3","13","After the girls hugged their father in the kitchen drank some lemonade.",4736,18,"Ambiguous",1
"2765","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",4157,18,"Unambiguous",-1
